epoch,loss,accuracy,val_loss,val_accuracy,lr
0,0.8629279732704163,0.5555025935173035,0.6761801838874817,0.5986696481704712,0.0010000000474974513
1,0.4574732780456543,0.7670319080352783,0.4221729636192322,0.8270509839057922,0.0010000000474974513
2,0.352751761674881,0.8261076807975769,0.2950516939163208,0.8780487775802612,0.0010000000474974513
3,0.298466295003891,0.8542162775993347,0.24312523007392883,0.8957871198654175,0.0010000000474974513
4,0.29532283544540405,0.8551691174507141,0.20636752247810364,0.8957871198654175,0.0010000000474974513
5,0.27011701464653015,0.8661267161369324,0.18292641639709473,0.898004412651062,0.0010000000474974513
6,0.2271435260772705,0.8975702524185181,0.1647505909204483,0.911308228969574,0.0010000000474974513
7,0.20427511632442474,0.9042401313781738,0.1555752158164978,0.9179601073265076,0.0010000000474974513
8,0.20784354209899902,0.8970938324928284,0.1663639098405838,0.893569827079773,0.0010000000474974513
9,0.19904281198978424,0.9085278511047363,0.1400744467973709,0.9334811568260193,0.0010000000474974513
10,0.18520185351371765,0.9118627905845642,0.14414972066879272,0.9356984496116638,0.0010000000474974513
11,0.17901112139225006,0.9094806909561157,0.12699541449546814,0.9445676207542419,0.0010000000474974513
12,0.16004261374473572,0.9228203892707825,0.11892068386077881,0.9467849135398865,0.0010000000474974513
13,0.16886372864246368,0.9156741499900818,0.12925899028778076,0.9356984496116638,0.0010000000474974513
14,0.13254781067371368,0.9371129274368286,0.13330157101154327,0.9135255217552185,0.0010000000474974513
15,0.13576734066009521,0.9356836676597595,0.11997836083173752,0.9356984496116638,0.0010000000474974513
16,0.11804953217506409,0.9428299069404602,0.11098401993513107,0.9379157423973083,0.0010000000474974513
17,0.13373123109340668,0.9366365075111389,0.11145748943090439,0.9467849135398865,0.0010000000474974513
18,0.12741394340991974,0.944735586643219,0.11962231993675232,0.9334811568260193,0.0010000000474974513
19,0.12074539065361023,0.9433063268661499,0.11476278305053711,0.9290465712547302,0.0010000000474974513
20,0.12197728455066681,0.9504526257514954,0.10747846961021423,0.9334811568260193,0.0010000000474974513
21,0.09960176050662994,0.95140540599823,0.08785197883844376,0.9556540846824646,0.0010000000474974513
22,0.10392552614212036,0.9533110857009888,0.09467191994190216,0.9512194991111755,0.0010000000474974513
23,0.09256696701049805,0.9585517048835754,0.09290610253810883,0.9445676207542419,0.0010000000474974513
24,0.09700625389814377,0.9595045447349548,0.09841407835483551,0.9423503279685974,0.0010000000474974513
25,0.08672215044498444,0.9637922644615173,0.10115141421556473,0.9401330351829529,0.0010000000474974513
26,0.07894258201122284,0.9661743640899658,0.10413752496242523,0.9423503279685974,0.0010000000474974513
27,0.07987398654222488,0.9656979441642761,0.08639326691627502,0.949002206325531,0.0005000000237487257
28,0.08236090838909149,0.9633158445358276,0.08336064219474792,0.9556540846824646,0.0005000000237487257
29,0.07351665198802948,0.9699857234954834,0.07968626916408539,0.949002206325531,0.0005000000237487257
30,0.07460573315620422,0.9661743640899658,0.08394571393728256,0.949002206325531,0.0005000000237487257
31,0.07424300909042358,0.9714149832725525,0.09098649024963379,0.9423503279685974,0.0005000000237487257
32,0.06256985664367676,0.9728441834449768,0.08010592311620712,0.9578713774681091,0.0005000000237487257
33,0.06135986000299454,0.9733206033706665,0.07940355688333511,0.9534367918968201,0.0005000000237487257
34,0.07501733303070068,0.9661743640899658,0.0780516117811203,0.949002206325531,0.0005000000237487257
35,0.06018546223640442,0.9761791229248047,0.07316232472658157,0.9534367918968201,0.0005000000237487257
36,0.07599492371082306,0.9633158445358276,0.07760415971279144,0.9512194991111755,0.0005000000237487257
37,0.06253200024366379,0.9695093035697937,0.06999418139457703,0.9556540846824646,0.0005000000237487257
38,0.06372875720262527,0.9737970232963562,0.07407296448945999,0.9556540846824646,0.0005000000237487257
39,0.06685106456279755,0.9709385633468628,0.07659321278333664,0.9556540846824646,0.0005000000237487257
