Timestamp,"1. Age
Example: 23 [Restricted to 19ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½","  2. Gender
Example: Male  ","3. Study_Hours (per day) 
Example: 3","4. Class_Attendance (%) 
Example: 85 ","5. Tuition (Private Coaching) 
Example: Yes","6. Exam_Frequency (per semester) 
Example: 4",7. Assignment_Load (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"8. Sleep_Hours (per day) 
Example: 6","9. Physical_Exercise (hours per week) 
Example: 2 ","10. Social_Media_Use (hours per day) 
Example: 3","11. Screen_Time (hours per day) 
Example: 6 ","12. Family_Income_Level 
Example: Middle",13. Peer_Pressure (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,14. Family_Support (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15. Anxiety_Level (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"16. University_Type 
Example: Public University",17. Stress_Score (1ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,"18. Stress_Level 
Example: Moderate"
2025/10/01 09:07:11 AM GMT+6,23,Male,7,68,No,9,3,6,Yes,4,1,Low,5,1,4,Public University,12,Medium
2025/10/01 09:43:40 AM GMT+6,23,Male,7,48,Yes,2,6,8,No,2,4,Low,2,3,2,Public University,5,Low
2025/10/01 10:20:09 AM GMT+6,23,Male,6,95,Yes,9,4,4,No,6,1,Low,1,7,2,National University,11,Medium
2025/10/01 10:56:38 AM GMT+6,22,Female,2,64,Yes,1,5,6,No,3,1,Medium,4,2,1,National University,3,Low
2025/10/01 11:33:06 AM GMT+6,20,Female,7,61,Yes,6,3,6,No,3,6,High,9,4,2,Public University,10,Low
2025/10/01 12:09:35 PM GMT+6,22,Male,6,48,Yes,9,9,6,No,7,7,Medium,5,6,1,Private University,21,High
2025/10/01 12:46:04 PM GMT+6,23,Female,9,77,Yes,6,4,5,Yes,0,3,Low,2,4,8,National University,10,Low
2025/10/01 01:22:33 PM GMT+6,24,Female,0,64,No,2,1,5,No,4,5,Medium,3,3,5,Private University,9,Low
2025/10/01 01:59:01 PM GMT+6,23,Male,6,83,Yes,2,4,4,No,1,9,Low,2,7,4,Private University,9,Low
2025/10/01 02:35:30 PM GMT+6,22,Female,7,84,No,7,7,6,No,3,9,Low,1,7,3,National University,16,Medium
2025/10/01 03:11:59 PM GMT+6,23,Male,5,79,Yes,7,7,5,Yes,4,10,Medium,8,9,5,Private University,17,Medium
2025/10/01 03:48:28 PM GMT+6,24,Male,4,90,Yes,9,9,5,Yes,3,4,High,2,5,8,Public University,21,High
2025/10/01 04:24:57 PM GMT+6,20,Female,2,92,Yes,7,9,6,Yes,0,6,Low,4,1,6,Public University,19,Medium
2025/10/01 05:01:25 PM GMT+6,22,Female,3,75,No,9,8,5,Yes,6,2,High,7,4,5,Private University,19,Medium
2025/10/01 05:37:54 PM GMT+6,23,Female,3,62,Yes,5,6,5,Yes,3,10,Low,5,5,4,Private University,16,Medium
2025/10/01 06:14:23 PM GMT+6,19,Female,1,90,Yes,3,8,9,No,0,9,Medium,3,3,7,National University,15,Medium
2025/10/01 06:50:52 PM GMT+6,20,Female,7,68,No,7,4,7,Yes,6,7,High,6,3,3,National University,15,Medium
2025/10/01 07:27:20 PM GMT+6,24,Female,5,56,No,2,5,8,No,1,5,Medium,8,4,1,Public University,2,Low
2025/10/01 08:03:49 PM GMT+6,23,Male,5,75,Yes,2,8,4,Yes,6,3,Medium,2,4,4,Private University,13,Medium
2025/10/01 08:40:18 PM GMT+6,20,Female,2,97,No,5,5,8,Yes,6,10,Medium,9,9,5,Public University,12,Medium
2025/10/01 09:16:47 PM GMT+6,24,Female,1,40,Yes,6,9,6,Yes,7,8,Low,8,2,2,National University,22,High
2025/10/01 09:53:16 PM GMT+6,23,Male,7,78,No,1,9,6,No,1,8,Low,4,6,1,National University,8,Low
2025/10/01 10:29:44 PM GMT+6,19,Male,9,59,No,8,3,5,Yes,5,5,Medium,9,9,9,Private University,14,Medium
2025/10/01 11:06:13 PM GMT+6,21,Male,1,97,Yes,7,2,8,No,6,11,High,5,5,2,Private University,15,Medium
2025/10/01 11:42:42 PM GMT+6,20,Female,9,89,No,1,3,5,Yes,1,6,Low,8,6,1,Private University,-1,Low
2025/10/02 12:19:11 AM GMT+6,19,Male,6,74,No,9,5,8,Yes,7,9,Low,5,6,1,National University,15,Medium
2025/10/02 12:55:39 AM GMT+6,20,Male,3,83,No,3,1,9,Yes,4,3,High,5,2,5,Public University,3,Low
2025/10/02 01:32:08 AM GMT+6,21,Male,7,47,Yes,5,3,5,No,2,6,Low,5,3,9,Private University,17,Medium
2025/10/02 02:08:37 AM GMT+6,20,Male,6,48,Yes,9,1,8,No,1,10,Low,1,4,8,Private University,17,Medium
2025/10/02 02:45:06 AM GMT+6,19,Female,1,48,No,1,5,6,No,4,8,Medium,1,1,3,Private University,14,Medium
2025/10/02 03:21:35 AM GMT+6,19,Female,5,45,Yes,9,9,5,No,0,1,Low,7,5,6,National University,15,Medium
2025/10/02 03:58:03 AM GMT+6,19,Male,6,70,Yes,3,9,8,No,0,7,Low,4,4,5,Public University,12,Medium
2025/10/02 04:34:32 AM GMT+6,21,Female,8,77,Yes,4,2,4,Yes,5,5,Medium,7,6,3,Public University,7,Low
2025/10/02 05:11:01 AM GMT+6,20,Female,5,50,No,8,9,6,No,1,5,Medium,7,3,7,National University,21,High
2025/10/02 05:47:30 AM GMT+6,20,Male,8,68,Yes,6,1,6,No,6,7,Low,4,4,4,National University,14,Medium
2025/10/02 06:23:59 AM GMT+6,23,Female,9,48,No,8,6,9,No,4,6,Low,9,4,1,Private University,12,Medium
2025/10/02 07:00:27 AM GMT+6,22,Male,5,43,No,1,4,9,No,0,6,Medium,7,4,9,National University,7,Low
2025/10/02 07:36:56 AM GMT+6,24,Female,1,74,No,9,5,4,No,3,4,High,3,1,4,Public University,20,Medium
2025/10/02 08:13:25 AM GMT+6,20,Male,3,62,No,3,5,5,No,2,2,Medium,2,8,2,National University,1,Low
2025/10/02 08:49:54 AM GMT+6,22,Female,4,87,No,9,7,8,No,5,10,Low,7,9,9,Private University,23,High
2025/10/02 09:26:22 AM GMT+6,23,Male,1,60,No,4,2,8,Yes,3,7,High,4,5,1,National University,2,Low
2025/10/02 10:02:51 AM GMT+6,23,Female,8,96,Yes,8,3,7,No,1,4,Low,6,4,5,Private University,10,Low
2025/10/02 10:39:20 AM GMT+6,24,Female,9,61,No,4,7,5,Yes,5,1,Low,4,3,2,Public University,9,Low
2025/10/02 11:15:49 AM GMT+6,20,Female,3,43,Yes,2,6,4,No,6,4,Low,4,1,4,Public University,17,Medium
2025/10/02 11:52:18 AM GMT+6,19,Male,9,79,No,7,2,5,Yes,4,7,Medium,1,2,6,Private University,17,Medium
2025/10/02 12:28:46 PM GMT+6,19,Male,4,79,Yes,1,5,4,Yes,7,10,Medium,4,8,6,Public University,15,Medium
2025/10/02 01:05:15 PM GMT+6,24,Male,4,98,Yes,1,6,9,Yes,1,5,Medium,5,5,4,National University,1,Low
2025/10/02 01:41:44 PM GMT+6,24,Female,4,73,No,4,6,7,No,1,3,Medium,2,5,6,Private University,8,Low
2025/10/02 02:18:13 PM GMT+6,20,Female,0,57,No,4,1,7,Yes,1,11,High,1,5,3,National University,6,Low
2025/10/02 02:54:41 PM GMT+6,23,Male,1,75,No,7,9,4,Yes,1,5,Low,6,8,1,Private University,9,Low
2025/10/02 03:31:10 PM GMT+6,19,Male,4,95,No,5,7,8,Yes,1,4,Low,8,5,7,Public University,9,Low
2025/10/02 04:07:39 PM GMT+6,23,Female,3,57,Yes,7,7,8,Yes,2,7,Low,9,4,2,Public University,11,Medium
2025/10/02 04:44:08 PM GMT+6,19,Female,7,59,No,4,1,7,Yes,4,6,Medium,2,8,7,Public University,5,Low
2025/10/02 05:20:37 PM GMT+6,21,Female,6,94,No,6,2,8,No,5,11,Medium,5,6,3,Public University,13,Medium
2025/10/02 05:57:05 PM GMT+6,22,Male,9,40,Yes,6,8,9,Yes,4,1,High,8,9,9,Private University,8,Low
2025/10/02 06:33:34 PM GMT+6,22,Female,7,91,Yes,5,4,9,Yes,2,6,High,8,4,2,Public University,4,Low
2025/10/02 07:10:03 PM GMT+6,20,Female,7,67,Yes,1,3,6,No,7,1,Medium,6,1,5,National University,10,Low
2025/10/02 07:46:32 PM GMT+6,23,Male,0,47,No,4,4,8,Yes,2,5,Medium,7,7,8,Private University,6,Low
2025/10/02 08:23:00 PM GMT+6,23,Male,0,82,Yes,4,4,9,No,0,8,Low,5,5,4,Public University,6,Low
2025/10/02 08:59:29 PM GMT+6,22,Female,6,70,No,4,1,9,No,5,6,Low,9,2,2,Public University,7,Low
2025/10/02 09:35:58 PM GMT+6,24,Female,7,87,No,5,6,4,No,4,7,Medium,2,1,7,National University,24,High
2025/10/02 10:12:27 PM GMT+6,24,Male,3,69,Yes,3,7,7,No,3,8,Medium,6,5,2,National University,11,Medium
2025/10/02 10:48:56 PM GMT+6,21,Female,0,52,No,3,1,9,No,1,2,Low,6,2,8,Public University,4,Low
2025/10/02 11:25:24 PM GMT+6,21,Male,5,64,Yes,1,2,8,No,4,1,Medium,6,2,3,Private University,1,Low
2025/10/03 12:01:53 AM GMT+6,21,Female,0,71,No,6,6,9,No,3,1,Low,1,6,6,Public University,7,Low
2025/10/03 12:38:22 AM GMT+6,19,Female,3,91,No,3,2,4,Yes,1,1,Low,2,9,6,National University,-2,Low
2025/10/03 01:14:51 AM GMT+6,20,Male,9,50,Yes,5,5,7,No,4,5,High,8,5,3,Public University,10,Low
2025/10/03 01:51:19 AM GMT+6,24,Female,0,93,Yes,1,5,9,No,1,9,Medium,4,9,8,Private University,6,Low
2025/10/03 02:27:48 AM GMT+6,21,Male,1,86,Yes,6,3,7,Yes,0,8,High,2,2,2,National University,8,Low
2025/10/03 03:04:17 AM GMT+6,20,Male,6,54,Yes,3,4,8,No,5,2,Low,6,8,4,Private University,2,Low
2025/10/03 03:40:46 AM GMT+6,21,Female,2,44,Yes,2,1,6,Yes,1,3,High,4,1,8,Private University,6,Low
2025/10/03 04:17:15 AM GMT+6,24,Female,1,80,Yes,5,1,9,No,3,11,Low,5,5,7,Private University,13,Medium
2025/10/03 04:53:43 AM GMT+6,19,Male,7,78,Yes,4,3,8,Yes,4,4,Medium,8,8,2,Public University,-1,Low
2025/10/03 05:30:12 AM GMT+6,23,Male,9,50,No,5,8,5,No,0,8,Low,2,5,7,Private University,18,Medium
2025/10/03 06:06:41 AM GMT+6,23,Male,4,49,No,3,9,5,No,1,2,Low,6,5,5,Public University,10,Low
2025/10/03 06:43:10 AM GMT+6,21,Female,3,71,No,3,5,5,Yes,6,3,Medium,3,8,4,Public University,6,Low
2025/10/03 07:19:38 AM GMT+6,21,Female,5,57,Yes,5,2,5,Yes,1,8,Medium,3,9,3,Private University,3,Low
2025/10/03 07:56:07 AM GMT+6,23,Female,9,66,Yes,6,5,9,Yes,2,6,Low,2,6,2,Public University,4,Low
2025/10/03 08:32:36 AM GMT+6,20,Male,9,92,No,3,2,7,No,2,3,Low,1,3,1,Public University,1,Low
2025/10/03 09:09:05 AM GMT+6,20,Female,4,64,No,4,4,7,No,3,6,High,3,7,7,Public University,10,Low
2025/10/03 09:45:34 AM GMT+6,22,Male,4,54,No,1,4,6,Yes,7,11,Low,3,2,2,National University,15,Medium
2025/10/03 10:22:02 AM GMT+6,19,Female,1,90,Yes,8,7,5,Yes,2,9,Medium,8,2,6,Public University,23,High
2025/10/03 10:58:31 AM GMT+6,19,Male,3,95,No,1,8,8,No,4,10,Low,8,5,6,Public University,16,Medium
2025/10/03 11:35:00 AM GMT+6,21,Male,1,80,Yes,1,9,6,No,2,10,Medium,4,6,7,National University,17,Medium
2025/10/03 12:11:29 PM GMT+6,23,Female,4,53,Yes,8,8,6,Yes,0,2,Low,2,8,3,Public University,5,Low
2025/10/03 12:47:58 PM GMT+6,22,Male,2,71,No,7,3,4,No,5,11,Medium,7,8,5,Private University,19,Medium
2025/10/03 01:24:26 PM GMT+6,24,Male,5,77,Yes,3,3,8,Yes,0,7,Medium,8,5,1,Private University,-1,Low
2025/10/03 02:00:55 PM GMT+6,20,Male,6,68,No,6,2,7,Yes,3,3,High,1,2,1,Private University,4,Low
2025/10/03 02:37:24 PM GMT+6,22,Male,5,63,Yes,8,8,4,Yes,2,10,Medium,7,2,5,Public University,25,High
2025/10/03 03:13:53 PM GMT+6,23,Female,6,81,Yes,8,4,7,No,7,10,Low,9,7,8,Public University,23,High
2025/10/03 03:50:21 PM GMT+6,20,Male,1,47,Yes,7,2,6,Yes,1,6,Low,8,6,7,Public University,9,Low
2025/10/03 04:26:50 PM GMT+6,20,Male,8,76,Yes,2,4,7,Yes,3,2,Medium,9,6,1,Public University,-3,Low
2025/10/03 05:03:19 PM GMT+6,19,Male,0,67,No,5,7,5,Yes,2,7,Medium,1,8,2,National University,8,Low
2025/10/03 05:39:48 PM GMT+6,21,Female,8,59,No,6,4,5,Yes,0,7,High,2,7,1,National University,4,Low
2025/10/03 06:16:17 PM GMT+6,21,Male,3,77,No,4,6,7,No,4,3,Low,9,3,3,Public University,10,Low
2025/10/03 06:52:45 PM GMT+6,22,Male,7,73,Yes,4,3,7,No,3,1,Low,5,9,6,Public University,1,Low
2025/10/03 07:29:14 PM GMT+6,24,Male,1,90,No,9,6,8,No,3,10,Medium,8,5,8,Private University,23,High
2025/10/03 08:05:43 PM GMT+6,23,Male,0,70,Yes,7,6,9,Yes,5,2,Medium,6,2,8,Private University,15,Medium
2025/10/03 08:42:12 PM GMT+6,23,Female,1,85,Yes,4,4,8,Yes,4,10,Medium,1,6,4,National University,10,Low
2025/10/03 09:18:40 PM GMT+6,23,Male,3,64,No,2,9,8,No,6,11,High,4,2,1,National University,19,Medium
2025/10/03 09:55:09 PM GMT+6,19,Female,2,47,Yes,1,5,8,Yes,2,2,Low,2,5,5,Private University,0,Low
2025/10/03 10:31:38 PM GMT+6,23,Male,0,54,Yes,2,4,6,Yes,7,5,High,9,3,9,National University,16,Medium
2025/10/03 11:08:07 PM GMT+6,23,Male,7,46,No,3,5,7,No,7,3,High,5,8,7,Private University,10,Low
2025/10/03 11:44:36 PM GMT+6,24,Male,2,53,No,9,5,6,Yes,6,3,High,9,5,4,Public University,14,Medium
2025/10/04 12:21:04 AM GMT+6,23,Female,8,92,Yes,8,5,8,No,4,10,Low,7,3,7,Private University,23,High
2025/10/04 12:57:33 AM GMT+6,23,Female,4,62,Yes,9,7,9,No,0,4,Low,9,7,5,National University,9,Low
2025/10/04 01:34:02 AM GMT+6,24,Male,4,62,Yes,4,6,5,No,6,5,Medium,5,4,6,Public University,18,Medium
2025/10/04 02:10:31 AM GMT+6,23,Male,4,79,Yes,9,8,8,Yes,3,8,Medium,3,3,7,Private University,22,High
2025/10/04 02:46:59 AM GMT+6,20,Female,3,74,Yes,5,8,5,Yes,5,3,Medium,2,4,6,Public University,16,Medium
2025/10/04 03:23:28 AM GMT+6,19,Female,3,43,Yes,7,1,8,No,7,11,High,2,1,8,Private University,25,High
2025/10/04 03:59:57 AM GMT+6,19,Male,6,92,No,4,5,8,Yes,3,7,Medium,4,6,3,Public University,6,Low
2025/10/04 04:36:26 AM GMT+6,22,Female,4,63,No,1,9,8,No,3,2,Medium,8,6,2,Private University,3,Low
2025/10/04 05:12:55 AM GMT+6,24,Female,2,78,Yes,4,1,8,Yes,4,3,High,8,7,4,Private University,-1,Low
2025/10/04 05:49:23 AM GMT+6,21,Female,7,93,No,5,9,4,Yes,7,8,Medium,5,3,9,National University,29,High
2025/10/04 06:25:52 AM GMT+6,24,Female,9,75,Yes,1,9,4,Yes,1,10,Low,9,3,2,Public University,14,Medium
2025/10/04 07:02:21 AM GMT+6,20,Male,2,80,No,6,2,8,Yes,4,1,Medium,6,3,7,National University,7,Low
2025/10/04 07:38:50 AM GMT+6,22,Female,0,60,Yes,2,6,7,No,2,5,Medium,4,5,5,National University,8,Low
2025/10/04 08:15:18 AM GMT+6,22,Female,8,61,Yes,2,1,7,No,1,4,Medium,6,7,8,Private University,2,Low
2025/10/04 08:51:47 AM GMT+6,20,Male,5,78,Yes,7,8,4,Yes,6,9,Low,1,2,2,Public University,24,High
2025/10/04 09:28:16 AM GMT+6,21,Male,2,58,Yes,6,2,9,Yes,5,2,Low,5,7,1,Public University,-2,Low
2025/10/04 10:04:45 AM GMT+6,20,Male,3,45,No,2,2,8,No,2,6,Medium,6,6,9,National University,7,Low
2025/10/04 10:41:14 AM GMT+6,24,Female,9,80,Yes,6,1,7,No,5,5,Medium,9,9,9,Public University,10,Low
2025/10/04 11:17:42 AM GMT+6,22,Female,0,78,No,5,7,9,Yes,7,11,Low,7,5,5,Public University,19,Medium
2025/10/04 11:54:11 AM GMT+6,19,Male,9,90,No,9,9,8,Yes,4,3,Low,7,4,9,Public University,20,Medium
2025/10/04 12:30:40 PM GMT+6,19,Male,5,67,No,8,7,6,Yes,5,8,Low,7,8,9,Public University,21,High
2025/10/04 01:07:09 PM GMT+6,19,Male,3,71,No,7,2,6,No,2,5,High,7,5,3,National University,8,Low
2025/10/04 01:43:37 PM GMT+6,24,Male,5,69,No,7,1,4,No,4,6,Medium,6,3,2,Private University,13,Medium
2025/10/04 02:20:06 PM GMT+6,20,Male,5,95,No,9,1,8,Yes,7,2,Medium,5,1,2,Public University,10,Low
2025/10/04 02:56:35 PM GMT+6,20,Male,5,89,Yes,3,9,4,Yes,3,7,Low,4,2,9,National University,23,High
2025/10/04 03:33:04 PM GMT+6,21,Male,5,56,No,5,9,4,No,0,6,Medium,4,3,4,Private University,17,Medium
2025/10/04 04:09:33 PM GMT+6,19,Female,5,83,No,3,5,7,Yes,2,9,Medium,9,8,4,Public University,6,Low
2025/10/04 04:46:01 PM GMT+6,19,Male,2,84,No,9,5,6,Yes,6,8,Medium,5,2,2,Public University,20,Medium
2025/10/04 05:22:30 PM GMT+6,23,Female,4,96,No,5,6,7,Yes,0,8,Medium,1,3,7,National University,14,Medium
2025/10/04 05:58:59 PM GMT+6,20,Male,7,86,Yes,3,5,4,Yes,7,11,Medium,7,4,7,Public University,23,High
2025/10/04 06:35:28 PM GMT+6,21,Male,4,62,Yes,4,1,6,Yes,2,2,Medium,1,7,3,National University,-3,Low
2025/10/04 07:11:57 PM GMT+6,21,Female,2,94,Yes,5,4,8,Yes,1,2,High,5,3,3,Public University,2,Low
2025/10/04 07:48:25 PM GMT+6,19,Female,1,41,Yes,8,4,6,Yes,1,3,Low,8,3,1,National University,6,Low
2025/10/04 08:24:54 PM GMT+6,20,Female,2,45,Yes,7,1,5,Yes,2,4,Medium,3,4,9,Private University,12,Medium
2025/10/04 09:01:23 PM GMT+6,24,Female,8,90,No,8,2,6,Yes,0,8,Low,1,1,4,Private University,13,Medium
2025/10/04 09:37:52 PM GMT+6,19,Male,5,99,Yes,9,7,7,Yes,3,7,High,7,4,5,Private University,18,Medium
2025/10/04 10:14:20 PM GMT+6,21,Male,7,41,Yes,3,9,4,Yes,4,7,Medium,4,2,5,National University,20,Medium
2025/10/04 10:50:49 PM GMT+6,24,Male,0,47,No,8,3,7,No,7,10,Low,5,6,7,Public University,22,High
2025/10/04 11:27:18 PM GMT+6,23,Female,2,72,No,2,5,4,Yes,5,10,Medium,8,7,1,National University,10,Low
2025/10/05 12:03:47 AM GMT+6,22,Female,0,92,Yes,1,9,8,No,6,11,High,5,9,5,Private University,15,Medium
2025/10/05 12:40:16 AM GMT+6,21,Female,5,81,Yes,6,9,5,No,6,8,Medium,3,7,9,National University,26,High
2025/10/05 01:16:44 AM GMT+6,24,Male,5,83,Yes,3,1,9,Yes,0,5,Low,2,4,7,Public University,1,Low
2025/10/05 01:53:13 AM GMT+6,23,Male,5,81,Yes,6,7,9,No,7,8,Medium,9,2,7,Public University,24,High
2025/10/05 02:29:42 AM GMT+6,22,Male,9,98,Yes,2,8,7,No,7,3,Low,7,5,7,National University,15,Medium
2025/10/05 03:06:11 AM GMT+6,19,Male,6,78,Yes,9,3,9,Yes,3,9,Medium,9,8,7,Private University,12,Medium
2025/10/05 03:42:39 AM GMT+6,19,Female,9,83,No,4,2,6,Yes,6,9,High,9,3,7,Public University,17,Medium
2025/10/05 04:19:08 AM GMT+6,21,Male,5,81,Yes,1,8,6,Yes,2,9,Low,2,9,2,Private University,5,Low
2025/10/05 04:55:37 AM GMT+6,23,Male,0,68,No,1,2,8,No,4,4,Low,7,4,4,National University,3,Low
2025/10/05 05:32:06 AM GMT+6,20,Male,1,82,Yes,2,7,7,No,3,7,High,1,4,7,Private University,15,Medium
2025/10/05 06:08:35 AM GMT+6,24,Female,0,62,No,1,8,4,Yes,7,1,Medium,4,6,7,National University,12,Medium
2025/10/05 06:45:03 AM GMT+6,21,Female,7,55,No,4,4,7,Yes,0,9,High,4,2,9,Private University,15,Medium
2025/10/05 07:21:32 AM GMT+6,19,Male,4,48,Yes,6,8,6,Yes,1,4,High,6,7,4,National University,8,Low
2025/10/05 07:58:01 AM GMT+6,21,Male,7,88,No,1,1,6,No,3,6,Low,9,6,5,National University,4,Low
2025/10/05 08:34:30 AM GMT+6,24,Male,0,96,No,6,4,4,Yes,7,3,Medium,2,6,1,Public University,9,Low
2025/10/05 09:10:58 AM GMT+6,22,Male,3,63,Yes,9,8,5,No,2,7,Medium,2,3,4,Private University,22,High
2025/10/05 09:47:27 AM GMT+6,22,Female,2,99,No,1,2,5,No,2,4,Low,2,3,2,National University,3,Low
2025/10/05 10:23:56 AM GMT+6,22,Male,5,80,Yes,6,3,6,No,1,4,High,2,8,2,National University,2,Low
2025/10/05 11:00:25 AM GMT+6,22,Male,9,54,Yes,1,4,9,Yes,3,6,Medium,1,2,2,National University,3,Low
2025/10/05 11:36:54 AM GMT+6,19,Male,6,43,No,4,6,4,No,3,2,High,9,1,7,National University,17,Medium
2025/10/05 12:13:22 PM GMT+6,23,Female,6,87,No,3,1,7,Yes,4,3,High,1,8,8,Public University,2,Low
2025/10/05 12:49:51 PM GMT+6,19,Female,7,96,Yes,2,1,5,Yes,2,9,Low,6,8,7,National University,6,Low
2025/10/05 01:26:20 PM GMT+6,23,Female,6,42,Yes,8,8,7,Yes,3,3,Low,6,7,4,National University,10,Low
2025/10/05 02:02:49 PM GMT+6,19,Male,6,93,No,7,5,9,Yes,0,1,Medium,9,7,7,National University,2,Low
2025/10/05 02:39:17 PM GMT+6,19,Female,3,99,No,6,2,6,No,3,6,Low,3,6,5,Public University,10,Low
2025/10/05 03:15:46 PM GMT+6,21,Female,1,75,No,7,7,9,No,1,3,Low,8,2,2,Public University,9,Low
2025/10/05 03:52:15 PM GMT+6,24,Female,1,97,No,3,4,5,Yes,2,1,Medium,8,7,3,National University,-1,Low
2025/10/05 04:28:44 PM GMT+6,19,Male,8,50,No,5,2,9,Yes,2,9,Low,6,8,2,Public University,1,Low
2025/10/05 05:05:13 PM GMT+6,20,Male,7,58,Yes,5,7,4,Yes,5,11,Low,2,9,6,Public University,19,Medium
2025/10/05 05:41:41 PM GMT+6,19,Female,8,81,No,7,6,6,Yes,7,3,Medium,3,4,1,Private University,12,Medium
2025/10/05 06:18:10 PM GMT+6,23,Male,7,40,No,3,1,7,No,1,3,Low,3,6,6,National University,1,Low
2025/10/05 06:54:39 PM GMT+6,22,Male,6,80,No,2,6,8,No,3,5,High,3,6,6,National University,8,Low
2025/10/05 07:31:08 PM GMT+6,20,Male,1,66,No,5,5,7,No,6,6,Low,7,7,6,Public University,14,Medium
2025/10/05 08:07:36 PM GMT+6,22,Male,1,63,Yes,1,2,7,No,5,2,High,7,4,8,National University,7,Low
2025/10/05 08:44:05 PM GMT+6,19,Male,6,92,Yes,1,3,8,Yes,0,2,Medium,9,3,9,Public University,2,Low
2025/10/05 09:20:34 PM GMT+6,24,Female,0,81,Yes,6,6,7,Yes,1,11,Medium,1,8,2,Public University,9,Low
2025/10/05 09:57:03 PM GMT+6,22,Female,1,89,No,8,5,4,Yes,2,4,Low,4,2,3,Public University,14,Medium
2025/10/05 10:33:32 PM GMT+6,23,Male,9,86,Yes,9,5,4,Yes,3,4,Low,8,2,8,National University,21,High
